1412,Solund,370
1413,Hyllestad,585
1416,Høyanger,1835
1417,Vik,1137
1418,Balestrand,587
1419,Leikanger,906
1420,Sogndal,3208
1421,Aurland,739
1422,Lærdal,893
1424,Årdal,2504
1426,Luster,2028
1428,Askvoll,1221
1429,Fjaler,1222
1430,Gaular,1120
1431,Jølster,1212
1432,Førde,5184
1433,Naustdal,1080
1438,Bremanger,1632
1439,Vågsøy,2553
1441,Selje,1114
1443,Eid,2336
1444,Hornindal,450
1445,Gloppen,2285
1449,Stryn,2898
1502,Molde,11668
1503,Kristiansund  (t.o.m. 2007),0
1504,Ålesund,20120
1505,Kristiansund,11140
1511,Vanylven,1394
1514,Sande (M. og R.),1058
1515,Herøy (M. og R.),3491
1516,Ulstein,3052
1517,Hareid,2101
1519,Volda,3775
1520,Ørsta,4304
1523,Ørskog,926
1524,Norddal,715
1525,Stranda,1938
1526,Stordal,425
1528,Sykkylven,3172
1529,Skodje,1678
1531,Sula,3334
1532,Giske,2924
1534,Haram,3728
1535,Vestnes,2802
1539,Rauma,3236
1543,Nesset,1252
1545,Midsund,828
1546,Sandøy,550
1547,Aukra,1350
1548,Fræna,3992
1551,Eide,1420
1554,Averøy,2327
1556,Frei (t.o.m. 2007),0
1557,Gjemnes,1053
1560,Tingvoll,1354
1563,Sunndal,3252
1566,Surnadal,2465
1567,Rindal,828
1569,Aure (t.o.m. 2005),0
1571,Halsa,715
1572,Tustna (t.o.m. 2005),0
1573,Smøla,983
1576,Aure,1561
1601,Trondheim,85572
1612,Hemne,1823
1613,Snillfjord,418
1617,Hitra,2039
1620,Frøya,1961
1621,Ørland,2278
1622,Agdenes,727
1624,Rissa,2699
1627,Bjugn,2095
1630,Åfjord,1407
1632,Roan,426
1633,Osen,456
1634,Oppdal,2930
1635,Rennebu,1088
1636,Meldal,1792
1638,Orkdal,5006
1640,Røros,2525
1644,Holtålen,882
1648,Midtre Gauldal,2645
1653,Melhus,6315
1657,Skaun,2780
1662,Klæbu,2272
1663,Malvik,5060
1664,Selbu,1726
1665,Tydal,363
1702,Steinkjer,9538
1703,Namsos,5565
1711,Meråker,1123
1714,Stjørdal,9345
1717,Frosta,1097
1718,Leksvik,1493
1719,Levanger,8113
1721,Verdal,6240
1723,Mosvik  (t.o.m. 2011),0
1724,Verran,1157
1725,Namdalseid,720
1729,Inderøy (t.o.m. 2011),0
1736,Snåase Snåsa,869
1738,Lierne,612
1739,Røyrvik,211
1740,Namsskogan,412
1742,Grong,1095
1743,Høylandet,510
1744,Overhalla,1484
1748,Fosnes,274
1749,Flatanger,481
1750,Vikna,1824
1751,Nærøy,2195
1755,Leka,268
1756,Inderøy (f.o.m. 2012),2728
1804,Bodø,21916
1805,Narvik,8540
1811,Bindal,719
1812,Sømna,889
1813,Brønnøy,3432
1815,Vega,544
1816,Vevelstad,234
1818,Herøy (Nordl.),811
1820,Alstahaug,3233
1822,Leirfjord,907
1824,Vefsn,5998
1825,Grane,680
1826,Hattfjelldal,605
1827,Dønna,621
1828,Nesna,886
1832,Hemnes,2012
1833,Rana,11318
1834,Lurøy,847
1835,Træna,215
1836,Rødøy,535
1837,Meløy,2860
1838,Gildeskål,888
1839,Beiarn,481
1840,Saltdal,2098
1841,Fauske,4307
1842,Skjerstad (t.o.m. 2004),0
1845,Sørfold,887
1848,Steigen,1123
1849,Hábmer Hamarøy,861
1850,Divtasvuodna Tysfjord,915
1851,Lødingen,1015
1852,Tjeldsund,587
1853,Evenes,625
1854,Ballangen,1180
1856,Røst,258
1857,Værøy,316
1859,Flakstad,562
1860,Vestvågøy,4723
1865,Vågan,4080
1866,Hadsel,3588
1867,Bø (Nordl.),1307
1868,Øksnes,1964
1870,Sortland,4416
1871,Andøy,2273
1874,Moskenes,515
1901,Harstad (t.o.m. 2012),0
1902,Tromsø,32354
1903,Harstad (f.o.m. 2013),10914
1911,Kvæfjord,1334
1913,Skånland,1278
1915,Bjarkøy (t.o.m. 2012),0
1917,Ibestad,682
1919,Gratangen,542
1920,Lavangen,419
1922,Bardu,1709
1923,Salangen,1008
1924,Målselv,2890
1925,Sørreisa,1438
1926,Dyrøy,562
1927,Tranøy,715
1928,Torsken,434
1929,Berg,423
1931,Lenvik,4830
1933,Balsfjord,2456
1936,Karlsøy,1062
1938,Lyngen,1283
1939,Storfjord,803
1940,Gáivuotna Kåfjord,970
1941,Skjervøy,1244
1942,Nordreisa,2102
1943,Kvænangen,552
2002,Vardø,1102
2003,Vadsø,2728
2004,Hammerfest,4639
2011,Guovdageaidnu Kautokeino,1088
2012,Alta,8077
2014,Loppa,518
2015,Hasvik,515
2017,Kvalsund,506
2018,Måsøy,615
2019,Nordkapp,1492
2020,Porsanger Porsángu Porsanki,1845
2021,Kárásjohka Karasjok,1109
2022,Lebesby,633
2023,Gamvik,553
2024,Berlevåg,501
2025,Deatnu Tana,1314
2027,Unjárga Nesseby,418
2028,Båtsfjord,1026
2030,Sør-Varanger,4552
